Game#,Week#,Date,Division,Start Time,Home Team,Visitor Team,Venue Name,Ground Address,Umpiring Team
10,Week1,"Sat, Nov 1",WB-D3,12:30 PM,BA Vikings,Bengal Bulls,Sea Breeze Park,"32600 Carmel Way, Union City",BT Wolverines
16,Week1,"Sun, Nov 2",WB-D2,8:30 AM,Bengal Tigers,Afghan Zwanan Heroes,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",Spartan-CCA
23,Week2,"Sat, Nov 8",PB-D1,8:30 AM,All Stars United,Bengal Thunder Cats,Sea Breeze Park,"32600 Carmel Way, Union City",BT Disruptors
41,Week2,"Sun, Nov 9",WB-D2,12:30 PM,SCCC Prospects,Bengal Tigers,Wilson Field,"1840 Benton St, Santa Clara",SF Thunders
43,Week2,"Sun, Nov 9",WB-D3,12:30 PM,Bengal Bulls,Cheetahs Beta,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",BA Mavericks
47,Week3,"Sat, Nov 15",WB-D2,8:30 AM,SV Tigers,Bengal Tigers,Ortega Park,"565-521 Inverness Way, Sunnyvale",Deccan Chargers WB
54,Week3,"Sun, Nov 16",PB-D1,8:30 AM,Bengal Thunder Cats,BT Warriors,Sierramont Middle School,"3155 Kimlee Dr, San Jose",Strikers White
64,Week3,"Sun, Nov 16",WB-D3,12:30 PM,Bengal Bulls,Tracy Youth,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",BA Mavericks
82,Week4,"Sun, Nov 23",PB-D1,12:30 PM,Bengal Thunder Cats,BA Mavericks,Sierramont Middle School,"3155 Kimlee Dr, San Jose",All Stars United
87,Week4,"Sun, Nov 23",WB-D3,12:30 PM,Bengal Bulls,Livermore Monks,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",UC T20
93,Week6,"Sat, Dec 6",PB-D1,12:30 PM,Indus Dukes,Bengal Thunder Cats,Fremont Central Park,"1110-1166 Stevenson Blvd, Fremont",Stanford CC
96,Week6,"Sat, Dec 6",WB-D3,12:30 PM,Bengal Bulls,Strikers Blue,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",Kashmir CC
102,Week6,"Sun, Dec 7",WB-D2,8:30 AM,Deccan Chargers WB,Bengal Tigers,Sierramont Middle School,"3155 Kimlee Dr, San Jose",Kashmir CC
110,Week7,"Sat, Dec 13",PB-D1,8:30 AM,BA Mavericks,Bengal Thunder Cats,Sea Breeze Park,"32600 Carmel Way, Union City",Tracy Shaheens
112,Week7,"Sat, Dec 13",WB-D3,8:30 AM,Desi RCB StrikerZ,Bengal Bulls,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",Indus Avengers
133,Week8,"Sat, Dec 20",WB-D2,8:30 AM,Tracy Shaheens,Bengal Tigers,Plasencia Fields,"2200 Krohn Rd, Tracy",Strikers White
136,Week8,"Sat, Dec 20",PB-D1,12:30 PM,Bengal Thunder Cats,SCCC Pandas,Sierramont Middle School,"3155 Kimlee Dr, San Jose",Phoenix Panthers
148,Week8,"Sun, Dec 21",WB-D3,12:30 PM,SF Thunders,Bengal Bulls,Sea Breeze Park,"32600 Carmel Way, Union City",BT Warriors
164,Week11,"Sun, Jan 11",WB-D3,8:30 AM,Strikers Blue,Bengal Bulls,Sierramont Middle School,"3155 Kimlee Dr, San Jose",Livermore Monks
165,Week11,"Sun, Jan 11",PB-D1,12:30 PM,SCCC Pandas,Bengal Thunder Cats,Wilson Field,"1840 Benton St, Santa Clara",BT Warriors
174,Week13,"Sat, Jan 24",WB-D3,8:30 AM,Bengal Bulls,Khalsa Warriors,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",Cougars Black
179,Week13,"Sat, Jan 24",WB-D2,12:30 PM,Bengal Tigers,BT Disruptors,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",Cougars Black
196,Week14,"Sat, Jan 31",WB-D3,12:30 PM,BT Wolverines,Bengal Bulls,Plasencia Fields,"2200 Krohn Rd, Tracy",All Stars Eagles
202,Week14,"Sun, Feb 1",PB-D1,12:30 PM,Bengal Thunder Cats,Kashmir CC,Sierramont Middle School,"3155 Kimlee Dr, San Jose",Cheetahs Gamma
205,Week14,"Sun, Feb 1",WB-D2,12:30 PM,Bengal Tigers,Pittsburg Pirates,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",SV Tigers
223,Week15,"Sun, Feb 8",WB-D2,12:30 PM,Afghan Atalan,Bengal Tigers,Plasencia Fields,"2200 Krohn Rd, Tracy",Livermore Yodhas
229,Week17,"Sat, Feb 21",WB-D2,8:30 AM,Bengal Tigers,Sunnyvale CC,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",BT Warriors
235,Week17,"Sun, Feb 22",PB-D1,8:30 AM,Deccan Chargers PB,Bengal Thunder Cats,Sierramont Middle School,"3155 Kimlee Dr, San Jose",SCCC Rhinos
243,Week17,"Sun, Feb 22",WB-D3,12:30 PM,Tracy Youth,Bengal Bulls,Plasencia Fields,"2200 Krohn Rd, Tracy",Livermore Monks
263,Week19,"Sat, Mar 7",WB-D3,8:30 AM,Bengal Bulls,Stanford CC,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",UC T20
270,Week19,"Sun, Mar 8",WB-D2,8:30 AM,Berkeley,Bengal Tigers,Plasencia Fields,"2200 Krohn Rd, Tracy",Pittsburg Pirates
273,Week19,"Sun, Mar 8",PB-D1,12:30 PM,Bengal Thunder Cats,All Stars United,Sierramont Middle School,"3155 Kimlee Dr, San Jose",SCCC Rhinos
279,Week20,"Sat, Mar 14",WB-D2,8:30 AM,Bengal Tigers,Phoenix Panthers,NLCG East Avenue Middle School,"3600 Pacific Ave, Livermore",Royal Challengers BayArea
283,Week20,"Sun, Mar 15",PB-D1,8:30 AM,Bengal Thunder Cats,Livermore Supermonks,Sierramont Middle School,"3155 Kimlee Dr, San Jose",Deccan Chargers PB
313,Week22,"Sat, Mar 28",WB-D2,12:30 PM,Bengal Tigers,Spartan-1,Caroline Davis School,"5036 Edenview Dr, San Jose",Cheetahs Gamma
316,Week22,"Sun, Mar 29",PB-D1,8:30 AM,Kashmir CC,Bengal Thunder Cats,Sierramont Middle School,"3155 Kimlee Dr, San Jose",Valley Champions
